storm_id,duration,name,damage,date,wind,pressure,lat,long,rainfall,category,year,month,elevation
AL011959,5.5,Arlene,500000.0,1959-05-30,55.0,993.0,29.650000000000002,-91.6,15.26,0,1959,5,0.2998933792114258
AL021993,3.25,Arlene,22000000.0,1993-06-20,35.0,1001.1666666666666,27.116666666666667,-97.46666666666667,15.26,0,1993,6,2.473105430603027
AL011962,6.75,Alma,1000000.0,1962-08-28,65.0,990.6666666666666,34.52641666666666,-76.09966666666666,10.38,0,1962,8,-39.29999542236328
AL011966,9.0,Alma,10050000.0,1966-06-09,80.0,979.6666666666666,29.9098,-84.4982,10.38,1,1966,6,-0.3048021793365479
AL011968,12.25,Abby,450000.0,1968-06-04,57.0,992.0,26.80838333333333,-82.16681666666666,14.65,0,1968,6,0.2060019075870514
AL031964,3.0,Abby,750000.0,1964-08-07,55.0,1000.0,28.716416666666667,-95.69991666666667,14.65,0,1964,8,-2.827415227890015
AL011994,7.5,Alberto,500000000.0,1994-07-03,55.0,993.0,30.4,-86.5,27.85,0,1994,7,5.132493019104004
AL011995,8.0,Allison,1700000.0,1995-06-05,60.0,991.0,29.9,-84.4,40.68,0,1995,6,2.089488744735718
AL012001,13.5,Allison,8500000000.0,2001-06-05,50.0,1003.0,28.966666666666665,-95.3,40.68,0,2001,6,0.1958867907524109
AL021989,6.75,Allison,500000000.0,1989-06-26,41.0,1001.75,28.742425,-95.7,40.68,0,1989,6,-0.3100000023841858
AL012004,6.0,Alex,4000000.0,2004-08-03,85.0,973.3333333333334,34.59133333333333,-76.0248,14.4,1,2004,8,-39.19999694824219
AL012010,7.25,Alex,10000000.0,2010-07-01,95.0,946.0,24.2,-97.7,14.4,1,2010,7,-1.92854917049408
AL012014,11.0,Arthur,6000000.0,2014-07-04,85.0,972.8333333333334,34.75425,-76.54608333333333,9.95,1,2014,7,2.734136819839478
AL021952,16.0,Able,2750000.0,1952-08-31,85.0,983.0,32.3,-80.6,6.89,1,1952,8,1.676599621772766
AL021955,11.75,Connie,40000000.0,1955-08-12,85.0,962.0,34.800000000000004,-76.66666666666667,13.24,1,1955,8,2.170146465301514
AL021957,4.5,Audrey,150000000.0,1957-06-27,110.0,946.0,29.8,-93.7,10.63,2,1957,6,0.4160972833633423
AL021972,8.5,Agnes,100000000.0,1972-06-19,65.0,984.0,30.065,-85.43,19.0,0,1972,6,2.749802350997925
AL021972,8.5,Agnes,2000000000.0,1972-06-22,57.0,980.0,40.6092,-73.65305000000001,19.0,0,1972,6,2.53112530708313
AL021985,4.75,Bob,20000000.0,1985-07-25,65.0,1003.1666666666666,32.31666666666667,-80.53333333333333,21.86,0,1985,7,1.212264895439148
AL031991,13.0,Bob,1500000000.0,1991-08-19,92.0,966.0,41.8154,-71.10756666666667,21.86,1,1991,8,-0.6812977194786072
AL041979,7.0,Bob,20000000.0,1979-07-11,65.0,986.5,29.255833333333335,-90.56418333333333,21.86,0,1979,7,-1.399999856948853
AL021986,4.75,Bonnie,2000000.0,1986-06-26,75.0,990.0,29.6,-94.2,14.61,1,1986,6,-5.69683313369751
AL021998,11.75,Bonnie,720000000.0,1998-08-27,95.0,963.0,34.3201,-77.7383,14.61,1,1998,8,2.825271368026733
AL021988,2.75,Beryl,3000000.0,1988-08-09,45.0,1001.0,29.690966666666668,-89.64723333333333,17.45,0,1988,8,0.7541456818580627
AL031994,4.5,Beryl,73000000.0,1994-08-16,50.0,999.5,30.1,-85.5,17.45,0,1994,8,2.326229810714722
AL021996,12.25,Bertha,270000000.0,1996-07-12,90.0,974.0,34.125,-77.875,13.77,1,1996,7,6.516956329345703
AL022019,5.75,Barry,600000000.0,2019-07-11,65.0,993.0,29.6,92.2,23.58,0,2019,7,4913.61328125
AL032001,5.75,Barry,30000000.0,2001-08-06,60.0,990.0,30.4,-86.3,23.58,0,2001,8,1.769075989723206
AL031953,5.5,Barbara,1000000.0,1953-08-14,80.0,980.5833333333334,35.4,-76.1,12.78,1,1953,8,0.405508279800415
AL031955,16.5,Diane,200000000.0,1955-08-17,62.0,985.3333333333334,34.08416666666667,-77.94416666666667,19.75,0,1955,8,0.3616306781768799
AL031955,16.5,Diane,600000000.0,1955-08-19,40.0,1000.3333333333334,40.5358,-74.25736666666667,19.75,0,1955,8,3.207837343215942
AL031960,11.0,Brenda,5000000.0,1960-07-29,45.0,1000.0,29.7,-83.5,14.57,0,1960,7,-0.300000011920929
AL031961,14.5,Carla,325000000.0,1961-09-11,125.0,936.6666666666666,28.375,-96.65673333333334,17.48,3,1961,9,1.608315229415894
AL031965,17.0,Betsy,139300000.0,1965-09-08,110.0,951.0,25.14255,-81.06739999999999,12.21,2,1965,9,-0.1157991960644722
AL031965,17.0,Betsy,1280500000.0,1965-09-10,135.0,946.0,29.26775,-90.32464999999999,12.21,4,1965,9,1.175494350822288e-38
AL031968,4.5,Candy,3000000.0,1968-06-23,60.0,999.3333333333334,27.978333333333335,-97.09753333333333,11.28,0,1968,6,3.786436319351196
AL031983,5.75,Alicia,3000000000.0,1983-08-18,100.0,962.25,29.1734,-95.143425,9.5,2,1983,8,-0.28368079662323
AL031987,7.75,Unnamed,7400000.0,1987-08-10,40.0,1009.0,29.5,-94.5,29.76,0,1987,8,-2.751977205276489
AL031988,9.25,Chris,500000.0,1988-08-28,45.0,1005.1666666666666,32.13333333333333,-80.93333333333334,16.0,0,1988,8,1.281341552734375
AL051982,3.75,Chris,2000000.0,1982-09-11,55.0,994.1666666666666,29.728333333333335,-93.82038333333333,16.0,0,1982,9,0.2960571050643921
AL031998,2.75,Charley,50000000.0,1998-08-22,60.0,1000.25,27.825,-97.175,19.05,0,1998,8,-0.5250633358955383
AL032004,6.0,Charley,16000000000.0,2004-08-13,130.0,944.0,26.9815,-82.0701,19.05,4,2004,8,6.446408748626709
AL032004,6.0,Charley,90000000.0,2004-08-14,70.0,992.0,33.0,-79.4,19.05,0,2004,8,-2.5
AL051986,16.5,Charley,15000000.0,1986-08-17,65.0,989.5,34.78205,-76.4671,19.05,0,1986,8,0.09711381793022156
AL031999,6.25,Bret,60000000.0,1999-08-23,100.0,955.0,26.933266666666665,-97.5768,12.73,2,1999,8,3.473403215408325
AL032003,4.75,Bill,50000000.0,2003-06-30,50.0,997.0,29.200000000000003,-91.0,15.11,0,2003,6,1.175494350822288e-38
AL032005,7.5,Cindy,320000000.0,2005-07-06,65.0,991.0,29.2,-90.1,23.5,0,2005,7,0.07823098450899124
AL041963,3.5,Cindy,12560000.0,1963-09-17,65.0,996.7777777777778,29.558333333333334,-94.4052,23.5,0,1963,9,-0.1728259176015854
AL041962,10.0,Daisy,1100000.0,1962-10-08,65.0,975.0,43.605133333333335,-66.25663333333334,9.47,0,1962,10,-49.44855880737305
AL041970,5.75,Celia,454000000.0,1970-08-03,110.0,947.5,27.84975,-97.16883333333332,7.66,2,1970,8,-0.2633253633975983
AL041978,1.25,Amelia,20000000.0,1978-07-30,45.0,1005.0,26.0401,-97.1998,48.0,0,1978,7,3.786756753921509
AL041980,11.25,Allen,300000000.0,1980-08-10,105.0,947.3333333333334,26.192533333333333,-97.33743333333334,20.2,2,1980,8,1.610637903213501
AL041985,8.75,Danny,50000000.0,1985-08-15,80.0,987.0,29.6,-92.7,37.75,1,1985,8,-0.4093897640705109
AL051997,11.0,Danny,100000000.0,1997-07-19,67.0,986.3333333333334,30.391683333333333,-87.87498333333333,37.75,0,1997,7,1.572519898414612
AL041989,3.5,Chantal,100000000.0,1989-08-01,70.0,985.0,29.55,-94.35,20.0,0,1989,8,-4.424766540527344
AL041992,11.5,Andrew,24000000000.0,1992-08-24,145.0,922.0,25.4999,-80.28,13.98,4,1992,8,-1.906851768493652
AL041992,11.5,Andrew,1000000000.0,1992-08-26,122.0,955.2,29.28,-91.34,13.98,3,1992,8,-2.296834230422974
AL041995,5.0,Dean,500000.0,1995-07-31,40.0,999.0,29.1,-95.15,17.6,0,1995,7,0.0
AL042003,10.5,Claudette,180000000.0,2003-07-15,80.0,981.0,28.42,-96.48,45.0,1,2003,7,3.290478706359863
AL061979,14.0,Claudette,400000000.0,1979-07-24,45.0,999.3333333333334,29.736633333333334,-93.8951,45.0,0,1979,7,0.4012126326560974
AL042005,13.5,Dennis,2500000000.0,2005-07-10,110.0,948.6666666666666,30.542266666666666,-87.16676666666666,25.56,2,2005,7,-0.9845867156982422
AL051999,15.75,Dennis,157000000.0,1999-09-04,60.0,984.0,34.8,-76.5,25.56,0,1999,9,0.4696162641048431
AL101981,14.75,Dennis,25000000.0,1981-08-17,35.0,999.0,25.2975,-81.1975,25.56,0,1981,8,-1.799999952316284
AL042008,6.5,Dolly,1300000000.0,2008-07-23,75.0,968.0,26.4067,-97.4551,15.0,1,2008,7,3.016072988510132
AL051950,8.5,Easy,3300000.0,1950-09-04,85.0,973.0,27.7,-83.5,45.2,1,1950,9,-36.70332336425781
AL051959,5.0,Debra,7000000.0,1959-07-25,75.0,980.0,29.1,-95.2,15.89,1,1959,7,0.1930643618106842
AL051960,15.75,Donna,300000000.0,1960-09-10,125.0,936.0,25.143050000000002,-81.1876,13.24,3,1960,9,-1.700000047683716
AL051960,15.75,Donna,56500000.0,1960-09-12,90.0,958.5,34.725,-77.15,13.24,1,1960,9,2.600600719451904
AL051960,15.75,Donna,30000000.0,1960-09-12,85.0,960.5,41.0,-72.65,13.24,1,1960,9,-20.11522674560547
AL051961,16.75,Esther,6000000.0,1961-09-21,105.0,982.5,40.9372,-70.4446,18.39,2,1961,9,-45.0700569152832
AL061957,3.5,Esther,1500000.0,1957-09-18,55.0,1000.6666666666666,29.2,-90.9,18.39,0,1957,9,2.916566518251784e-05
AL051964,21.25,Cleo,128500000.0,1964-08-27,90.0,970.0,26.1,-80.12135,14.33,1,1964,8,1.118331909179688
AL051965,5.5,Debbie,25000000.0,1965-09-30,30.0,1004.0,30.0,-88.9,17.2,0,1965,9,-5.206260681152344
AL051985,7.75,Elena,1250000000.0,1985-09-02,102.0,959.0,30.4,-89.2,15.67,2,1985,9,1.411525368690491
AL121979,3.0,Elena,10000000.0,1979-09-01,35.0,1008.0,28.666666666666668,-95.81513333333334,15.67,0,1979,9,0.9916473627090454
AL051993,14.75,Emily,35000000.0,1993-08-31,100.0,960.5,35.400000000000006,-75.0,7.51,2,1993,8,-38.1983528137207
AL051995,6.5,Erin,350000000.0,1995-08-02,75.0,983.0,27.4132,-80.275,12.81,1,1995,8,-0.1231004819273949
AL051995,6.5,Erin,350000000.0,1995-08-03,85.0,976.0,30.375,-87.275,12.81,1,1995,8,2.433422327041626
AL051998,8.0,Earl,79000000.0,1998-09-03,75.0,987.0,30.1,-85.7,16.36,1,1998,9,2.469768285751343
AL072010,13.0,Earl,18000000.0,2010-09-03,85.0,956.6666666666666,35.166333333333334,-73.89691666666667,16.36,1,2010,9,-3367.55810546875
AL052019,15.75,Dorian,1600000000.0,2019-08-24,160.0,910.0,14.0,60.9,15.21,5,2019,8,-4192.0
AL061954,6.75,Carol,227500.0,1954-08-31,97.0,959.3333333333334,34.55816666666667,-75.77276666666667,6.49,2,1954,8,-107.4070663452148
AL061954,6.75,Carol,460000000.0,1954-08-31,100.0,955.0,40.9,-72.2,6.49,2,1954,8,-22.599609375
AL061960,5.0,Ethel,1060000.0,1960-09-15,70.0,980.0,30.4,-89.0,12.94,0,1960,9,9.06800651550293
AL061964,18.5,Dora,250000000.0,1964-09-10,97.0,965.6666666666666,29.883233333333333,-81.27586666666667,23.73,2,1964,9,0.6629227995872498
AL061977,5.75,Babe,10000000.0,1977-09-05,65.0,996.3333333333334,29.253333333333334,-91.23693333333333,10.99,0,1977,9,0.4505811929702759
AL061996,17.5,Fran,5000000000.0,1996-09-06,100.0,954.0,33.9,-78.0,16.0,2,1996,9,-0.1511466056108475
AL061998,5.0,Frances,500000000.0,1998-09-11,50.0,990.1666666666666,28.227899999999998,-96.97845000000001,23.57,0,1998,9,2.907336950302124
AL062004,16.75,Frances,9800000000.0,2004-09-05,95.0,960.0,27.2,-80.2,23.57,1,2004,9,2.104243755340576
AL062002,5.25,Fay,4500000.0,2002-09-07,50.0,999.5,28.6,-96.4,27.65,0,2002,9,-2.998782634735107
AL062008,12.75,Fay,560000000.0,2008-08-19,55.0,990.0,25.9388,-81.5831,27.65,0,2008,8,10.76500797271729
AL062006,10.5,Ernesto,500000000.0,2006-08-30,40.0,1003.0,25.2,-80.7,14.61,0,2006,8,-0.1198101341724396
AL062018,19.25,Florence,24000000000.0,2018-08-31,130.0,937.0,34.2,77.8,35.93,4,2018,8,4612.9794921875
AL071988,4.25,Florence,2920000.0,1988-09-10,70.0,984.0,29.184150000000002,-89.32634999999999,35.93,0,1988,9,0.0
AL091953,4.25,Florence,200000.0,1953-09-26,80.0,968.0,30.433333333333334,-86.16666666666667,35.93,1,1953,9,-2.59998083114624
AL071956,12.5,Flossy,25000000.0,1956-09-24,80.0,974.1666666666666,30.35955,-86.49623333333334,16.7,1,1956,9,-19.40253257751465
AL071976,4.25,Belle,100000000.0,1976-08-10,70.0,982.0,40.648266666666665,-73.30993333333333,6.8,0,1976,8,-0.07008381187915802
AL071998,15.75,Georges,680000000.0,1998-09-25,90.0,981.0,24.4383,-81.7094,38.46,1,1998,9,-93.61090850830078
AL071998,15.75,Georges,1630000000.0,1998-09-28,90.0,964.0,30.4,-88.9,38.46,1,1998,9,5.215466022491455
AL072004,6.5,Gaston,130000000.0,2004-08-29,65.0,985.0,33.0,-79.6,12.6,0,2004,8,14.94536209106445
AL072008,11.5,Gustav,6000000000.0,2008-09-01,95.0,954.0,29.2,-90.7,21.0,1,2008,9,0.5277283191680908
AL082002,6.5,Gustav,100000.0,2002-09-10,55.0,984.0,35.2492,-75.1752,21.0,0,2002,9,-31.01486587524414
AL081954,9.25,Edna,40000000.0,1954-09-11,97.0,952.0,41.7,-70.3,9.3,2,1954,9,7.381007194519043
AL081955,16.75,Ione,88035000.0,1955-09-19,92.0,955.0,34.75,-76.7,16.63,1,1955,9,0.0
AL081958,13.0,Helene,11200000.0,1958-09-27,120.0,938.0,33.7665,-77.7919,9.6,3,1958,9,-18.0
AL122000,10.25,Helene,16000000.0,2000-09-22,42.0,1005.5,30.416616666666666,-86.66491666666667,9.6,0,2000,9,9.643315315246582
AL081959,12.0,Gracie,14000000.0,1959-09-29,115.0,951.0,32.5,-80.5,13.2,3,1959,9,0.0
AL081988,11.25,Gilbert,50000000.0,1988-09-16,115.0,953.0,24.1105,-97.5983,8.6,3,1988,9,-32.17824172973633
AL081999,11.75,Floyd,6500000000.0,1999-09-16,90.0,958.4,34.23896,-77.78886,24.06,1,1999,9,0.8086608648300171
AL131987,4.75,Floyd,500000.0,1987-10-12,65.0,993.0,25.1,-80.5,24.06,0,1987,10,-0.6019416451454163
AL082001,10.0,Gabrielle,230000000.0,2001-09-14,60.0,983.8333333333334,27.183733333333336,-82.52578333333332,15.1,0,2001,9,-8.247520446777344
AL082008,11.5,Hanna,160000000.0,2008-09-06,60.0,981.0,33.8,-78.7,15.56,0,2008,9,-6.929754257202148
AL082020,3.75,Hanna,1100000000.0,2020-07-23,80.0,973.0,26.8,97.3,15.56,1,2020,7,1454.235107421875
AL092002,3.5,Hanna,20000000.0,2002-09-14,50.0,1002.1666666666666,30.333333333333332,-88.46666666666667,15.56,0,2002,9,0.7584877610206604
AL082021,9.75,Henri,700000000.0,2021-08-15,65.0,987.0,41.2,71.6,9.09,0,2021,8,889.950927734375
AL091951,12.75,How,2000000.0,1951-10-02,55.0,992.9375,26.75,-82.0,15.72,0,1951,10,4.710113525390625
AL091966,20.0,Inez,5000000.0,1966-10-04,75.0,984.1666666666666,25.02625,-80.43208333333334,4.8,1,1966,10,-5.865267753601074
